Dato;Parameter;AverageValue;Layer
2010-01-12;Oxygen indhold;4.91;Bottom
2010-01-12;Oxygen indhold;12.095;Surface
2010-01-12;Oxygenmætning;41.5;Bottom
2010-01-12;Oxygenmætning;90.0;Surface
2010-01-12;Salinitet;25.6;Bottom
2010-01-12;Salinitet;15.05;Surface
2010-01-12;Temperatur;1.35;Bottom
2010-01-12;Temperatur;-0.55;Surface
2010-02-09;Oxygen indhold;8.3;Bottom
2010-02-09;Oxygen indhold;11.471428571428572;Surface
2010-02-09;Oxygenmætning;69.5;Bottom
2010-02-09;Oxygenmætning;86.42857142857143;Surface
2010-02-09;Salinitet;26.665;Bottom
2010-02-09;Salinitet;12.93142857142857;Surface
2010-02-09;Temperatur;0.6625;Bottom
2010-02-09;Temperatur;0.33571428571428574;Surface
2010-03-04;Oxygen indhold;5.316666666666666;Bottom
2010-03-04;Oxygen indhold;11.200000000000001;Surface
2010-03-04;Oxygenmætning;45.166666666666664;Bottom
2010-03-04;Oxygenmætning;82.42857142857143;Surface
2010-03-04;Salinitet;26.64833333333333;Bottom
2010-03-04;Salinitet;9.545714285714284;Surface
2010-03-04;Temperatur;1.0650000000000002;Bottom
2010-03-04;Temperatur;0.3385714285714286;Surface
2010-03-16;Oxygen indhold;4.071428571428571;Bottom
2010-03-16;Oxygen indhold;10.2875;Surface
2010-03-16;Oxygenmætning;34.57142857142857;Bottom
2010-03-16;Oxygenmætning;77.0;Surface
2010-03-16;Salinitet;26.534285714285716;Bottom
2010-03-16;Salinitet;9.35625;Surface
2010-03-16;Temperatur;1.6528571428571428;Bottom
2010-03-16;Temperatur;1.19375;Surface
2010-03-29;Oxygen indhold;10.2;Bottom
2010-03-29;Oxygen indhold;11.2;Surface
2010-03-29;Oxygenmætning;87.375;Bottom
2010-03-29;Oxygenmætning;97.0;Surface
2010-03-29;Salinitet;26.32625;Bottom
2010-03-29;Salinitet;25.96;Surface
2010-03-29;Temperatur;1.565;Bottom
2010-03-29;Temperatur;2.1275;Surface
2010-04-06;Oxygen indhold;9.116666666666667;Bottom
2010-04-06;Oxygen indhold;12.139999999999999;Surface
2010-04-06;Oxygenmætning;78.83333333333333;Bottom
2010-04-06;Oxygenmætning;109.4;Surface
2010-04-06;Salinitet;25.878333333333334;Bottom
2010-04-06;Salinitet;24.31;Surface
2010-04-06;Temperatur;2.203333333333333;Bottom
2010-04-06;Temperatur;4.16;Surface
2010-04-12;Oxygen indhold;10.416666666666666;Bottom
2010-04-12;Oxygen indhold;10.5;Surface
2010-04-12;Oxygenmætning;100.66666666666667;Bottom
2010-04-12;Oxygenmætning;102.0;Surface
2010-04-12;Salinitet;24.14833333333333;Bottom
2010-04-12;Salinitet;23.98;Surface
2010-04-12;Temperatur;6.945;Bottom
2010-04-12;Temperatur;7.145;Surface
2010-05-04;Oxygen indhold;10.814285714285715;Bottom
2010-05-04;Oxygen indhold;10.775;Surface
2010-05-04;Oxygenmætning;108.85714285714286;Bottom
2010-05-04;Oxygenmætning;108.75;Surface
2010-05-04;Salinitet;22.534285714285716;Bottom
2010-05-04;Salinitet;22.545;Surface
2010-05-04;Temperatur;9.26;Bottom
2010-05-04;Temperatur;9.2675;Surface
2010-05-17;Oxygen indhold;10.28888888888889;Bottom
2010-05-17;Oxygen indhold;10.2;Surface
2010-05-17;Oxygenmætning;104.11111111111111;Bottom
2010-05-17;Oxygenmætning;104.0;Surface
2010-05-17;Salinitet;21.58888888888889;Bottom
2010-05-17;Salinitet;21.53333333333333;Surface
2010-05-17;Temperatur;10.01;Bottom
2010-05-17;Temperatur;10.0;Surface
2010-05-26;Oxygen indhold;9.3;Bottom
2010-05-26;Oxygen indhold;9.3;Surface
2010-05-26;Oxygenmætning;100.0;Bottom
2010-05-26;Oxygenmætning;99.25;Surface
2010-05-26;Salinitet;22.14125;Bottom
2010-05-26;Salinitet;22.1425;Surface
2010-05-26;Temperatur;12.0175;Bottom
2010-05-26;Temperatur;12.032499999999999;Surface
2010-05-31;Oxygen indhold;9.014285714285714;Bottom
2010-05-31;Oxygen indhold;9.1;Surface
2010-05-31;Oxygenmætning;97.0;Bottom
2010-05-31;Oxygenmætning;99.0;Surface
2010-05-31;Salinitet;21.25714285714286;Bottom
2010-05-31;Salinitet;21.21;Surface
2010-05-31;Temperatur;12.702857142857143;Bottom
2010-05-31;Temperatur;12.743333333333334;Surface
2010-06-07;Oxygen indhold;5.385714285714286;Bottom
2010-06-07;Oxygen indhold;10.66;Surface
2010-06-07;Oxygenmætning;60.714285714285715;Bottom
2010-06-07;Oxygenmætning;123.8;Surface
2010-06-07;Salinitet;22.974285714285713;Bottom
2010-06-07;Salinitet;19.69;Surface
2010-06-07;Temperatur;14.412857142857144;Bottom
2010-06-07;Temperatur;16.736;Surface
2010-06-22;Oxygen indhold;8.428571428571429;Bottom
2010-06-22;Oxygen indhold;8.7;Surface
2010-06-22;Oxygenmætning;97.42857142857143;Bottom
2010-06-22;Oxygenmætning;100.5;Surface
2010-06-22;Salinitet;22.138571428571428;Bottom
2010-06-22;Salinitet;22.14;Surface
2010-06-22;Temperatur;15.67;Bottom
2010-06-22;Temperatur;15.67;Surface
2010-06-28;Oxygen indhold;4.316666666666666;Bottom
2010-06-28;Oxygen indhold;9.674999999999999;Surface
2010-06-28;Oxygenmætning;50.5;Bottom
2010-06-28;Oxygenmætning;115.5;Surface
2010-06-28;Salinitet;23.68166666666667;Bottom
2010-06-28;Salinitet;21.05;Surface
2010-06-28;Temperatur;15.766666666666666;Bottom
2010-06-28;Temperatur;17.56;Surface
2010-07-05;Oxygen indhold;1.2428571428571427;Bottom
2010-07-05;Oxygen indhold;10.58;Surface
2010-07-05;Oxygenmætning;15.142857142857142;Bottom
2010-07-05;Oxygenmætning;132.0;Surface
2010-07-05;Salinitet;24.445714285714285;Bottom
2010-07-05;Salinitet;22.42;Surface
2010-07-05;Temperatur;16.255714285714284;Bottom
2010-07-05;Temperatur;19.59;Surface
2010-07-13;Oxygen indhold;3.566666666666667;Bottom
2010-07-13;Oxygen indhold;8.0;Surface
2010-07-13;Oxygenmætning;45.0;Bottom
2010-07-13;Oxygenmætning;102.0;Surface
2010-07-13;Salinitet;23.47888888888889;Bottom
2010-07-13;Salinitet;22.7;Surface
2010-07-13;Temperatur;19.281111111111112;Bottom
2010-07-13;Temperatur;20.6;Surface
2010-07-20;Oxygen indhold;2.4875;Bottom
2010-07-20;Oxygen indhold;9.825000000000001;Surface
2010-07-20;Oxygenmætning;31.25;Bottom
2010-07-20;Oxygenmætning;123.25;Surface
2010-07-20;Salinitet;26.142500000000002;Bottom
2010-07-20;Salinitet;24.09;Surface
2010-07-20;Temperatur;19.0525;Bottom
2010-07-20;Temperatur;19.384999999999998;Surface
2010-07-27;Oxygen indhold;5.628571428571428;Bottom
2010-07-27;Oxygen indhold;7.8;Surface
2010-07-27;Oxygenmætning;71.85714285714286;Bottom
2010-07-27;Oxygenmætning;100.0;Surface
2010-07-27;Salinitet;24.74857142857143;Bottom
2010-07-27;Salinitet;24.57;Surface
2010-07-27;Temperatur;20.164285714285715;Bottom
2010-07-27;Temperatur;20.105;Surface
2010-08-04;Oxygen indhold;7.414285714285714;Bottom
2010-08-04;Oxygen indhold;8.0;Surface
2010-08-04;Oxygenmætning;92.42857142857143;Bottom
2010-08-04;Oxygenmætning;100.0;Surface
2010-08-04;Salinitet;24.34;Bottom
2010-08-04;Salinitet;24.27;Surface
2010-08-04;Temperatur;18.944285714285716;Bottom
2010-08-04;Temperatur;19.005;Surface
2010-08-09;Oxygen indhold;9.875;Bottom
2010-08-09;Oxygen indhold;11.2;Surface
2010-08-09;Oxygenmætning;125.25;Bottom
2010-08-09;Oxygenmætning;142.0;Surface
2010-08-09;Salinitet;24.0025;Bottom
2010-08-09;Salinitet;23.92;Surface
2010-08-09;Temperatur;19.8675;Bottom
2010-08-09;Temperatur;19.91;Surface
2010-08-16;Oxygen indhold;7.099999999999999;Bottom
2010-08-16;Oxygen indhold;7.1;Surface
2010-08-16;Oxygenmætning;89.83333333333333;Bottom
2010-08-16;Oxygenmætning;90.0;Surface
2010-08-16;Salinitet;23.570000000000004;Bottom
2010-08-16;Salinitet;23.56;Surface
2010-08-16;Temperatur;19.75;Bottom
2010-08-16;Temperatur;19.75;Surface
2010-08-23;Oxygen indhold;2.988888888888889;Bottom
2010-08-23;Oxygen indhold;8.879999999999999;Surface
2010-08-23;Oxygenmætning;38.0;Bottom
2010-08-23;Oxygenmætning;109.2;Surface
2010-08-23;Salinitet;26.503333333333334;Bottom
2010-08-23;Salinitet;24.204;Surface
2010-08-23;Temperatur;18.967777777777776;Bottom
2010-08-23;Temperatur;18.154000000000003;Surface
2010-08-30;Oxygen indhold;8.3;Bottom
2010-08-30;Oxygen indhold;8.6;Surface
2010-08-30;Oxygenmætning;97.625;Bottom
2010-08-30;Oxygenmætning;101.0;Surface
2010-08-30;Salinitet;24.13375;Bottom
2010-08-30;Salinitet;24.1025;Surface
2010-08-30;Temperatur;15.89875;Bottom
2010-08-30;Temperatur;15.93;Surface
2010-09-06;Oxygen indhold;4.683333333333334;Bottom
2010-09-06;Oxygen indhold;14.780000000000001;Surface
2010-09-06;Oxygenmætning;55.5;Bottom
2010-09-06;Oxygenmætning;168.2;Surface
2010-09-06;Salinitet;23.846666666666668;Bottom
2010-09-06;Salinitet;21.284;Surface
2010-09-06;Temperatur;16.221666666666668;Bottom
2010-09-06;Temperatur;15.189999999999998;Surface
2010-09-14;Oxygen indhold;3.7125000000000004;Bottom
2010-09-14;Oxygen indhold;8.1;Surface
2010-09-14;Oxygenmætning;44.125;Bottom
2010-09-14;Oxygenmætning;94.2;Surface
2010-09-14;Salinitet;26.85625;Bottom
2010-09-14;Salinitet;23.768;Surface
2010-09-14;Temperatur;15.86;Bottom
2010-09-14;Temperatur;15.594;Surface
2010-09-28;Oxygen indhold;9.1;Bottom
2010-09-28;Oxygen indhold;9.225;Surface
2010-09-28;Oxygenmætning;99.0;Bottom
2010-09-28;Oxygenmætning;100.25;Surface
2010-09-28;Salinitet;24.86;Bottom
2010-09-28;Salinitet;24.85;Surface
2010-09-28;Temperatur;12.18;Bottom
2010-09-28;Temperatur;12.18;Surface
2010-10-11;Oxygen indhold;8.128571428571428;Bottom
2010-10-11;Oxygen indhold;12.850000000000001;Surface
2010-10-11;Oxygenmætning;88.57142857142857;Bottom
2010-10-11;Oxygenmætning;139.25;Surface
2010-10-11;Salinitet;25.252857142857145;Bottom
2010-10-11;Salinitet;23.9625;Surface
2010-10-11;Temperatur;12.105714285714285;Bottom
2010-10-11;Temperatur;12.129999999999999;Surface
2010-10-18;Oxygen indhold;6.3500000000000005;Bottom
2010-10-18;Oxygen indhold;9.625;Surface
2010-10-18;Oxygenmætning;68.5;Bottom
2010-10-18;Oxygenmætning;100.25;Surface
2010-10-18;Salinitet;26.665000000000003;Bottom
2010-10-18;Salinitet;25.19;Surface
2010-10-18;Temperatur;11.344999999999999;Bottom
2010-10-18;Temperatur;9.97;Surface
2010-11-25;Oxygen indhold;11.471428571428572;Bottom
2010-11-25;Oxygen indhold;11.675;Surface
2010-11-25;Oxygenmætning;97.71428571428571;Bottom
2010-11-25;Oxygenmætning;99.5;Surface
2010-11-25;Salinitet;23.09;Bottom
2010-11-25;Salinitet;23.0775;Surface
2010-11-25;Temperatur;2.22;Bottom
2010-11-25;Temperatur;2.22;Surface
2011-01-11;Oxygen indhold;11.557142857142859;Bottom
2011-01-11;Oxygen indhold;12.950000000000001;Surface
2011-01-11;Oxygenmætning;94.85714285714286;Bottom
2011-01-11;Oxygenmætning;97.83333333333333;Surface
2011-01-11;Salinitet;27.017142857142858;Bottom
2011-01-11;Salinitet;13.716666666666667;Surface
2011-01-11;Temperatur;-0.14714285714285716;Bottom
2011-01-11;Temperatur;0.18000000000000002;Surface
2011-01-31;Oxygen indhold;7.442857142857143;Bottom
2011-01-31;Oxygen indhold;10.9;Surface
2011-01-31;Oxygenmætning;62.57142857142857;Bottom
2011-01-31;Oxygenmætning;82.66666666666667;Surface
2011-01-31;Salinitet;28.07;Bottom
2011-01-31;Salinitet;10.618333333333332;Surface
2011-01-31;Temperatur;0.4114285714285714;Bottom
2011-01-31;Temperatur;1.2866666666666668;Surface
2011-03-08;Oxygen indhold;10.914285714285715;Bottom
2011-03-08;Oxygen indhold;14.0;Surface
2011-03-08;Oxygenmætning;89.14285714285714;Bottom
2011-03-08;Oxygenmætning;113.0;Surface
2011-03-08;Salinitet;25.08857142857143;Bottom
2011-03-08;Salinitet;20.7775;Surface
2011-03-08;Temperatur;0.11714285714285713;Bottom
2011-03-08;Temperatur;0.7125;Surface
2011-03-16;Oxygen indhold;14.280000000000001;Bottom
2011-03-16;Oxygen indhold;14.0;Surface
2011-03-16;Oxygenmætning;121.0;Bottom
2011-03-16;Oxygenmætning;119.0;Surface
2011-03-16;Salinitet;22.362000000000002;Bottom
2011-03-16;Salinitet;21.994;Surface
2011-03-16;Temperatur;2.28;Bottom
2011-03-16;Temperatur;2.354;Surface
2011-03-23;Oxygen indhold;11.3;Bottom
2011-03-23;Oxygen indhold;11.459999999999999;Surface
2011-03-23;Oxygenmætning;98.5;Bottom
2011-03-23;Oxygenmætning;100.8;Surface
2011-03-23;Salinitet;25.0625;Bottom
2011-03-23;Salinitet;24.002000000000002;Surface
2011-03-23;Temperatur;2.6875;Bottom
2011-03-23;Temperatur;3.406;Surface
2011-04-07;Oxygen indhold;10.6;Bottom
2011-04-07;Oxygen indhold;10.8;Surface
2011-04-07;Oxygenmætning;101.0;Bottom
2011-04-07;Oxygenmætning;103.0;Surface
2011-04-07;Salinitet;23.96;Bottom
2011-04-07;Salinitet;23.97;Surface
2011-04-07;Temperatur;6.43;Bottom
2011-04-07;Temperatur;6.43;Surface
2011-04-18;Oxygen indhold;11.242857142857144;Bottom
2011-04-18;Oxygen indhold;11.6;Surface
2011-04-18;Oxygenmætning;111.85714285714286;Bottom
2011-04-18;Oxygenmætning;115.2;Surface
2011-04-18;Salinitet;23.19;Bottom
2011-04-18;Salinitet;22.926;Surface
2011-04-18;Temperatur;8.534285714285714;Bottom
2011-04-18;Temperatur;8.751999999999999;Surface
2011-05-02;Oxygen indhold;9.92;Bottom
2011-05-02;Oxygen indhold;10.7;Surface
2011-05-02;Oxygenmætning;109.2;Bottom
2011-05-02;Oxygenmætning;118.0;Surface
2011-05-02;Salinitet;21.194;Bottom
2011-05-02;Salinitet;20.6375;Surface
2011-05-02;Temperatur;13.752;Bottom
2011-05-02;Temperatur;13.785;Surface
2011-05-24;Oxygen indhold;8.74;Bottom
2011-05-24;Oxygen indhold;8.8;Surface
2011-05-24;Oxygenmætning;97.0;Bottom
2011-05-24;Oxygenmætning;98.0;Surface
2011-05-24;Salinitet;24.175;Bottom
2011-05-24;Salinitet;24.17;Surface
2011-05-24;Temperatur;13.3;Bottom
2011-05-24;Temperatur;13.288;Surface
2011-06-08;Oxygen indhold;6.133333333333333;Bottom
2011-06-08;Oxygen indhold;9.649999999999999;Surface
2011-06-08;Oxygenmætning;73.16666666666667;Bottom
2011-06-08;Oxygenmætning;118.5;Surface
2011-06-08;Salinitet;24.093333333333334;Bottom
2011-06-08;Salinitet;22.915;Surface
2011-06-08;Temperatur;15.873333333333335;Bottom
2011-06-08;Temperatur;18.545;Surface
2011-06-14;Oxygen indhold;2.9875000000000003;Bottom
2011-06-14;Oxygen indhold;8.75;Surface
2011-06-14;Oxygenmætning;35.125;Bottom
2011-06-14;Oxygenmætning;103.25;Surface
2011-06-14;Salinitet;25.35375;Bottom
2011-06-14;Salinitet;23.557499999999997;Surface
2011-06-14;Temperatur;15.0925;Bottom
2011-06-14;Temperatur;16.45;Surface
2011-06-20;Oxygen indhold;4.788888888888889;Bottom
2011-06-20;Oxygen indhold;8.9;Surface
2011-06-20;Oxygenmætning;55.888888888888886;Bottom
2011-06-20;Oxygenmætning;104.0;Surface
2011-06-20;Salinitet;25.071111111111108;Bottom
2011-06-20;Salinitet;23.834;Surface
2011-06-20;Temperatur;15.57;Bottom
2011-06-20;Temperatur;15.9;Surface
2011-06-22;Oxygen indhold;5.542857142857143;Bottom
2011-06-22;Oxygen indhold;9.1;Surface
2011-06-22;Oxygenmætning;65.71428571428571;Bottom
2011-06-22;Oxygenmætning;107.5;Surface
2011-06-22;Salinitet;24.919999999999998;Bottom
2011-06-22;Salinitet;24.2675;Surface
2011-06-22;Temperatur;16.03;Bottom
2011-06-22;Temperatur;16.37;Surface
2011-06-27;Oxygen indhold;4.257142857142857;Bottom
2011-06-27;Oxygen indhold;8.549999999999999;Surface
2011-06-27;Oxygenmætning;50.285714285714285;Bottom
2011-06-27;Oxygenmætning;102.0;Surface
2011-06-27;Salinitet;25.020000000000003;Bottom
2011-06-27;Salinitet;24.36;Surface
2011-06-27;Temperatur;16.041428571428572;Bottom
2011-06-27;Temperatur;16.718333333333334;Surface
2011-07-05;Oxygen indhold;5.8125;Bottom
2011-07-05;Oxygen indhold;9.4;Surface
2011-07-05;Oxygenmætning;70.25;Bottom
2011-07-05;Oxygenmætning;114.0;Surface
2011-07-05;Salinitet;24.8125;Bottom
2011-07-05;Salinitet;24.0875;Surface
2011-07-05;Temperatur;16.97375;Bottom
2011-07-05;Temperatur;17.5325;Surface
2011-07-12;Oxygen indhold;1.2;Bottom
2011-07-12;Oxygen indhold;10.2;Surface
2011-07-12;Oxygenmætning;14.571428571428571;Bottom
2011-07-12;Oxygenmætning;124.5;Surface
2011-07-12;Salinitet;27.79;Bottom
2011-07-12;Salinitet;23.836666666666662;Surface
2011-07-12;Temperatur;16.935714285714287;Bottom
2011-07-12;Temperatur;18.161666666666665;Surface
2011-07-19;Oxygen indhold;5.2625;Bottom
2011-07-19;Oxygen indhold;9.7;Surface
2011-07-19;Oxygenmætning;63.875;Bottom
2011-07-19;Oxygenmætning;116.5;Surface
2011-07-19;Salinitet;25.855;Bottom
2011-07-19;Salinitet;24.09;Surface
2011-07-19;Temperatur;17.27375;Bottom
2011-07-19;Temperatur;17.22;Surface
2011-07-25;Oxygen indhold;3.2666666666666666;Bottom
2011-07-25;Oxygen indhold;9.5;Surface
2011-07-25;Oxygenmætning;39.888888888888886;Bottom
2011-07-25;Oxygenmætning;114.5;Surface
2011-07-25;Salinitet;25.42;Bottom
2011-07-25;Salinitet;22.822499999999998;Surface
2011-07-25;Temperatur;17.72888888888889;Bottom
2011-07-25;Temperatur;17.82;Surface
2011-08-01;Oxygen indhold;1.2428571428571427;Bottom
2011-08-01;Oxygen indhold;8.625;Surface
2011-08-01;Oxygenmætning;15.428571428571429;Bottom
2011-08-01;Oxygenmætning;111.0;Surface
2011-08-01;Salinitet;24.892857142857142;Bottom
2011-08-01;Salinitet;23.2325;Surface
2011-08-01;Temperatur;18.684285714285714;Bottom
2011-08-01;Temperatur;20.877499999999998;Surface
2011-08-03;Oxygen indhold;4.16;Bottom
2011-08-03;Oxygen indhold;9.2;Surface
2011-08-03;Oxygenmætning;53.6;Bottom
2011-08-03;Oxygenmætning;120.4;Surface
2011-08-03;Salinitet;23.686;Bottom
2011-08-03;Salinitet;21.868000000000002;Surface
2011-08-03;Temperatur;20.562;Bottom
2011-08-03;Temperatur;22.218;Surface
2011-08-08;Oxygen indhold;1.9100000000000001;Bottom
2011-08-08;Oxygen indhold;6.6;Surface
2011-08-08;Oxygenmætning;23.6;Bottom
2011-08-08;Oxygenmætning;82.0;Surface
2011-08-08;Salinitet;26.851999999999997;Bottom
2011-08-08;Salinitet;24.1675;Surface
2011-08-08;Temperatur;18.419;Bottom
2011-08-08;Temperatur;18.435;Surface
2011-08-15;Oxygen indhold;5.028571428571429;Bottom
2011-08-15;Oxygen indhold;10.4;Surface
2011-08-15;Oxygenmætning;61.142857142857146;Bottom
2011-08-15;Oxygenmætning;124.75;Surface
2011-08-15;Salinitet;24.857142857142858;Bottom
2011-08-15;Salinitet;22.735;Surface
2011-08-15;Temperatur;17.462857142857143;Bottom
2011-08-15;Temperatur;17.49;Surface
2011-08-22;Oxygen indhold;0.7571428571428571;Bottom
2011-08-22;Oxygen indhold;10.0;Surface
2011-08-22;Oxygenmætning;9.285714285714286;Bottom
2011-08-22;Oxygenmætning;122.0;Surface
2011-08-22;Salinitet;26.631428571428568;Bottom
2011-08-22;Salinitet;24.76;Surface
2011-08-22;Temperatur;17.65714285714286;Bottom
2011-08-22;Temperatur;17.6875;Surface
2011-08-30;Oxygen indhold;8.372727272727273;Bottom
2011-08-30;Oxygen indhold;8.6;Surface
2011-08-30;Oxygenmætning;100.54545454545455;Bottom
2011-08-30;Oxygenmætning;103.0;Surface
2011-08-30;Salinitet;25.916363636363634;Bottom
2011-08-30;Salinitet;25.83;Surface
2011-08-30;Temperatur;16.518181818181816;Bottom
2011-08-30;Temperatur;16.52;Surface
2011-09-05;Oxygen indhold;7.7749999999999995;Bottom
2011-09-05;Oxygen indhold;9.4;Surface
2011-09-05;Oxygenmætning;93.75;Bottom
2011-09-05;Oxygenmætning;114.0;Surface
2011-09-05;Salinitet;25.54875;Bottom
2011-09-05;Salinitet;25.264000000000003;Surface
2011-09-05;Temperatur;16.8275;Bottom
2011-09-05;Temperatur;17.212;Surface
2011-09-21;Oxygen indhold;6.8;Bottom
2011-09-21;Oxygen indhold;8.5;Surface
2011-09-21;Oxygenmætning;78.9;Bottom
2011-09-21;Oxygenmætning;96.25;Surface
2011-09-21;Salinitet;27.621;Bottom
2011-09-21;Salinitet;25.072499999999998;Surface
2011-09-21;Temperatur;14.351000000000003;Bottom
2011-09-21;Temperatur;14.022499999999999;Surface
2011-09-27;Oxygen indhold;3.757142857142857;Bottom
2011-09-27;Oxygen indhold;12.625;Surface
2011-09-27;Oxygenmætning;43.42857142857143;Bottom
2011-09-27;Oxygenmætning;144.75;Surface
2011-09-27;Salinitet;27.55857142857143;Bottom
2011-09-27;Salinitet;26.07;Surface
2011-09-27;Temperatur;14.321428571428571;Bottom
2011-09-27;Temperatur;14.105;Surface
2011-10-03;Oxygen indhold;0.4571428571428572;Bottom
2011-10-03;Oxygen indhold;9.5;Surface
